epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,153.365,0.99304,0.76072,1.1557,0.83546,0.8734,0.91499,0.66846,0.87405,0.62017,1.04827,0.00104231,0.00104231,0.00104231
43,158.972,0.9453,0.73804,1.13442,0.84832,0.77281,0.87055,0.61165,0.90065,0.76484,1.05789,0.00103288,0.00103288,0.00103288
44,163.292,1.01984,0.76994,1.14676,0.83397,0.85149,0.91271,0.65013,0.87993,0.71334,1.05275,0.00102345,0.00102345,0.00102345
45,167.655,1.01428,0.7591,1.15707,0.91756,0.86622,0.93829,0.68619,0.83038,0.62705,1.01776,0.00101402,0.00101402,0.00101402
46,171.228,0.9675,0.74901,1.13381,0.92288,0.88011,0.95008,0.69323,0.81879,0.5899,1.01603,0.00100459,0.00100459,0.00100459
47,174.879,0.97858,0.73761,1.13139,0.88863,0.85494,0.93372,0.68039,0.83418,0.63488,1.01958,0.000995156,0.000995156,0.000995156
48,178.273,0.94543,0.70581,1.09309,0.8936,0.81359,0.9061,0.65446,0.82413,0.59611,1.00294,0.000985724,0.000985724,0.000985724
49,181.523,0.95155,0.69266,1.10726,0.86969,0.82503,0.91483,0.67894,0.80541,0.56966,0.99906,0.000976293,0.000976293,0.000976293
50,184.97,0.9345,0.69532,1.1035,0.88248,0.85707,0.92735,0.68851,0.83658,0.58875,1.01822,0.000966861,0.000966861,0.000966861
51,188.285,0.91973,0.68512,1.09625,0.90193,0.83468,0.9222,0.695,0.81385,0.60538,1.0081,0.00095743,0.00095743,0.00095743
52,191.514,0.93616,0.68048,1.10681,0.90703,0.8272,0.92276,0.69465,0.8054,0.62703,1.01161,0.000947999,0.000947999,0.000947999
53,194.786,0.90635,0.68918,1.0928,0.92008,0.87237,0.94122,0.71936,0.78924,0.57248,1.00498,0.000938567,0.000938567,0.000938567
54,198.181,0.93895,0.68917,1.11499,0.89716,0.83126,0.91725,0.70643,0.81581,0.60916,1.02448,0.000929136,0.000929136,0.000929136
55,201.465,0.91898,0.66741,1.0963,0.884,0.86883,0.94138,0.72391,0.77457,0.53978,0.99196,0.000919704,0.000919704,0.000919704
56,204.877,0.89292,0.64844,1.08509,0.87493,0.88314,0.93639,0.70665,0.79734,0.56887,1.0042,0.000910273,0.000910273,0.000910273
57,208.336,0.89871,0.67519,1.08881,0.89634,0.85126,0.93843,0.71955,0.7925,0.5708,1.00356,0.000900842,0.000900842,0.000900842
58,211.714,0.88616,0.64817,1.07949,0.88332,0.86611,0.9335,0.72442,0.75963,0.54371,0.98863,0.00089141,0.00089141,0.00089141
59,215.089,0.89662,0.65839,1.08672,0.90628,0.84582,0.9405,0.74174,0.73708,0.53766,0.97763,0.000881979,0.000881979,0.000881979
60,218.431,0.86143,0.63616,1.06383,0.91192,0.88902,0.95106,0.74896,0.72864,0.51529,0.96491,0.000872547,0.000872547,0.000872547
61,221.712,0.88646,0.6412,1.07387,0.92023,0.87261,0.95353,0.74112,0.72515,0.53073,0.96692,0.000863116,0.000863116,0.000863116
62,224.988,0.87313,0.62216,1.06087,0.90297,0.85029,0.94582,0.7253,0.77232,0.60829,0.98878,0.000853685,0.000853685,0.000853685
63,228.211,0.85859,0.61485,1.06478,0.93124,0.90681,0.96816,0.76069,0.72362,0.47931,0.96122,0.000844253,0.000844253,0.000844253
64,231.603,0.83978,0.60926,1.04939,0.90369,0.93708,0.96658,0.7654,0.7108,0.48437,0.95883,0.000834822,0.000834822,0.000834822
65,234.854,0.83635,0.60235,1.05929,0.9452,0.91625,0.97442,0.78089,0.67917,0.44953,0.94126,0.00082539,0.00082539,0.00082539
66,238.183,0.81804,0.58147,1.03869,0.96463,0.90011,0.97524,0.79078,0.6587,0.44255,0.93368,0.000815959,0.000815959,0.000815959
67,241.685,0.81637,0.57757,1.03813,0.95085,0.93046,0.97866,0.7862,0.6757,0.44162,0.94436,0.000806528,0.000806528,0.000806528
68,245.062,0.83859,0.5888,1.05712,0.94406,0.91691,0.97098,0.77921,0.67816,0.44919,0.94686,0.000797096,0.000797096,0.000797096
69,248.356,0.80553,0.58789,1.03705,0.91868,0.91238,0.96212,0.77356,0.68345,0.46513,0.94585,0.000787665,0.000787665,0.000787665
70,251.622,0.79515,0.59577,1.0388,0.95736,0.86275,0.96307,0.7873,0.64092,0.44807,0.92916,0.000778233,0.000778233,0.000778233
71,255.02,0.80768,0.59388,1.03308,0.89608,0.95345,0.9736,0.79563,0.64014,0.43819,0.92583,0.000768802,0.000768802,0.000768802
72,258.423,0.77137,0.56849,1.02804,0.95826,0.9547,0.98129,0.80546,0.62711,0.41211,0.91678,0.000759371,0.000759371,0.000759371
73,261.613,0.76874,0.54155,1.00743,0.95409,0.92523,0.97642,0.80725,0.62329,0.41689,0.91365,0.000749939,0.000749939,0.000749939
74,264.892,0.81098,0.54874,1.03072,0.96117,0.90731,0.97727,0.79617,0.64083,0.44728,0.91456,0.000740508,0.000740508,0.000740508
75,268.044,0.76834,0.55357,1.02673,0.9125,0.95595,0.97931,0.80104,0.61255,0.4268,0.90913,0.000731076,0.000731076,0.000731076
76,271.292,0.77938,0.5441,1.01915,0.92973,0.92157,0.97495,0.79141,0.62538,0.45396,0.91693,0.000721645,0.000721645,0.000721645
77,274.651,0.75912,0.55664,1.01814,0.92842,0.92543,0.97592,0.79792,0.61208,0.4885,0.9099,0.000712214,0.000712214,0.000712214
78,277.994,0.73004,0.53195,1.00594,0.94066,0.92114,0.97469,0.80072,0.63048,0.4469,0.9087,0.000702782,0.000702782,0.000702782
79,281.263,0.74743,0.53692,1.00337,0.95096,0.94103,0.98122,0.81803,0.60028,0.41125,0.89708,0.000693351,0.000693351,0.000693351
80,284.483,0.75589,0.54327,1.01126,0.97212,0.93098,0.98431,0.81713,0.6159,0.39587,0.90154,0.000683919,0.000683919,0.000683919
81,287.666,0.74646,0.53327,0.9933,0.97911,0.93937,0.98383,0.8155,0.60187,0.40273,0.89827,0.000674488,0.000674488,0.000674488
82,290.925,0.74696,0.52989,1.01492,0.96998,0.94584,0.98261,0.81799,0.61173,0.40893,0.8989,0.000665057,0.000665057,0.000665057
83,294.122,0.74224,0.5116,0.99135,0.97332,0.92396,0.98512,0.8328,0.57827,0.39588,0.89038,0.000655625,0.000655625,0.000655625
84,297.333,0.73122,0.52418,1.00431,0.95843,0.95185,0.9845,0.82354,0.5875,0.38014,0.88897,0.000646194,0.000646194,0.000646194
85,300.449,0.72076,0.52126,0.99601,0.97005,0.94957,0.98399,0.82358,0.57866,0.38431,0.88981,0.000636762,0.000636762,0.000636762
86,303.656,0.71761,0.52501,1.00231,0.96107,0.95775,0.98545,0.81834,0.58432,0.39397,0.89449,0.000627331,0.000627331,0.000627331
87,307.056,0.71034,0.49585,0.98339,0.95091,0.96155,0.98518,0.82583,0.58168,0.39294,0.8916,0.0006179,0.0006179,0.0006179
88,310.529,0.73503,0.52359,1.00459,0.98838,0.95704,0.98817,0.82423,0.56561,0.37564,0.87866,0.000608468,0.000608468,0.000608468
89,313.733,0.69654,0.48331,0.98171,0.97051,0.95602,0.9874,0.82848,0.55802,0.37082,0.87647,0.000599037,0.000599037,0.000599037
90,316.881,0.70241,0.48831,0.9778,0.96695,0.95509,0.98467,0.83971,0.5412,0.36936,0.87058,0.000589605,0.000589605,0.000589605
91,321.738,0.71033,0.48815,0.98768,0.97413,0.95824,0.9865,0.84169,0.5448,0.35957,0.87315,0.000580174,0.000580174,0.000580174
92,326.962,0.6868,0.48403,0.97515,0.95403,0.96645,0.98404,0.84697,0.52168,0.34459,0.86347,0.000570743,0.000570743,0.000570743
93,331.547,0.68947,0.48768,0.99052,0.95355,0.95776,0.98559,0.83998,0.51279,0.35022,0.86,0.000561311,0.000561311,0.000561311
94,335.663,0.69045,0.47811,0.98312,0.96925,0.94683,0.98639,0.84084,0.52775,0.35956,0.86868,0.00055188,0.00055188,0.00055188
95,339.557,0.68289,0.47198,0.96592,0.9537,0.96329,0.98704,0.83783,0.53273,0.35525,0.87207,0.000542448,0.000542448,0.000542448
96,343.337,0.6987,0.47528,0.96665,0.96816,0.94766,0.98356,0.85148,0.51749,0.34449,0.86313,0.000533017,0.000533017,0.000533017
97,349.093,0.67192,0.4595,0.95383,0.97686,0.93879,0.98487,0.85289,0.50498,0.3408,0.85797,0.000523586,0.000523586,0.000523586
98,354.743,0.67259,0.46466,0.97448,0.96818,0.9618,0.98613,0.85679,0.51551,0.34505,0.86094,0.000514154,0.000514154,0.000514154
99,360.764,0.6829,0.46407,0.97421,0.95279,0.96027,0.98734,0.85242,0.52089,0.34588,0.86503,0.000504723,0.000504723,0.000504723
100,365.093,0.65938,0.45566,0.97878,0.96112,0.96134,0.98682,0.85376,0.52037,0.35392,0.8625,0.000495291,0.000495291,0.000495291
